macbeth :310
dramatis :1
donalbain :16
army :2
angus :11
an :33
a :251
act :32
about :12
abed :1
abide :2
abhorred :1
abound :1
abjure :1
absolute :3
absence :2
above :3
abroad :2
absent :1
access :1
abuse :1
accents :1
account :1
according :2
accompany :1
acquaint :1
acheron :1
accursed :4
accounted :1
accountyet :1
accustomed :1
again :20
afeard :3
addition :2
adage :1
acted :1
acts :1
actions :1
acting :1
action :1
actual :1
adders :1
add :2
added :1
adhere :1
addressd :1
adieu :2
advice :2
admired :1
advantage :1
advance :1
advise :2
after :6
afraid :5
affliction :1
affair :1
affairs :1
affeerd :1
affection :1
afoot :1
afternoon :1
afterwards :1
all :98
air :14
against :14
againpullt :1
aid :3
agent :1
age :2
ah :1
agents :1
agitation :1
ague :1
aim :1
alarum :1
alack :1
airdrawn :1
alarm :1
aleppo :1
alarumd :1
alarumbell :2
alas :4
alarums :5
alike :1
alive :3
alls :4
allhailed :1
allhail :1
allegiance :1
am :30
almost :8
allthing :1
alter :1
already :4
alone :3
aloud :1
also :1
always :1
ambition :3
amazed :2
amaking :1
amazement :1
amazedly :1
amen :5
amiss :1
amends :1
amend :1
among :1
and :566
angels :2
angel :2
angerly :1
angerd :1
anger :1
angry :1
apparitions :2
apparition :10
anon :6
anointed :1
annoyance :1
another :8
anoncomes :1
appals :1
any :8
antonys :1
ant :1
answer :5
antic :1
anteroom :1
anticipatest :1
antidote :1
apart :1
apace :1
appal :1
armd :2
arm :4
are :73
approach :4
appoint :1
apply :1
applaud :3
appears :2
appear :1
appetite :1
appease :1
approve :1
approaches :2
approaching :1
arabia :1
arbitrate :1
argument :1
aright :1
arms :2
armed :1
armour :3
banquo :73
attending :2
attendants :7
as :90
art :18
aroint :1
arrived :1
artificial :1
assault :1
aside :11
assassination :1
askd :2
ask :1
asleep :2
assailable :1
assisted :1
assistance :1
assay :1
at :53
assurance :1
attend :5
attempt :2
attendant :5
attended :1
bade :3
attire :1
aught :1
audit :1
augerhole :1
back :6
away :11
augment :1
awaked :2
awake :3
avoid :1
authorized :1
augurs :1
avaunt :1
avaricious :1
avarice :2
avouch :1
avoided :1
avouches :1
babe :3
ay :17
aweary :1
aye :1
baby :1
baboons :1
babes :3
babybrow :1
bad :2
backs :1
backward :1
banners :2
bank :1
balm :1
badged :1
bake :1
baited :1
balls :1
banishd :1
bane :1
banquet :2
banquets :1
caithness :6
boy :4
battles :1
battlements :2
bathe :1
bark :1
banquos :5
barefaced :1
bare :1
bath :1
barren :1
bat :2
basis :1
batterd :1
battle :1
be :137
bleeding :2
began :3
become :4
beards :1
bear :10
beall :1
beard :2
bears :2
bearing :1
bearlike :1
became :2
beast :1
beart :1
beauteous :1
beat :2
beaten :1
been :22
bed :11
beelzebub :1
beds :1
beg :2
before :25
beetle :1
bellonas :1
belief :2
behind :1
begun :2
beguile :1
beggard :1
begin :2
being :10
behold :3
beholdseyton :1
beldams :1
bell :5
believe :3
believed :1
bellman :1
blasted :1
besides :3
bend :1
belt :1
benison :1
beneath :1
benediction :1
benefit :1
bent :1
beside :2
betrays :1
best :9
bestowd :1
betimes :2
bestows :1
bestride :1
bet :1
betray :1
bind :1
bid :7
between :2
better :8
beyond :2
beware :2
bill :1
bides :1
bidding :1
bids :1
black :8
bird :3
birth :1
birnam :11
birds :3
birthstrangled :1
birthdom :1
blanket :1
blade :2
blame :2
bladed :1
blanched :1
blames :1
blast :1
blaspheming :1
blaspheme :1
bleed :4
bloody :15
blood :23
bless :3
bleeds :1
blessing :3
blessed :1
blindworms :1
blessings :1
blisters :1
bloodbolterd :1
bloodier :1
both :20
bosom :4
blow :4
bloodyscepterd :1
borrowd :1
book :1
boneless :1
bold :4
blown :2
body :3
blows :1
bodements :1
boasting :1
blunt :1
boiling :1
boil :3
bond :2
bonfire :1
bones :3
borne :5
born :8
boot :1
bore :1
borrower :1
bosoms :2
botches :1
bought :2
bottom :1
bough :1
boughs :1
bowd :1
bounteous :1
bound :1
boundless :1
bove :1
bounty :1
by :48
brave :2
brandishd :2
brain :4
brag :1
braggart :1
brains :2
brainsickly :1
broil :1
break :4
breach :1
bravely :1
bridegroom :1
breath :7
breasts :1
breast :2
breed :4
breechd :1
brewd :1
brings :1
bring :9
briefly :1
brief :1
bright :2
brinded :1
brightest :1
broad :3
but :124
burial :1
bubbles :1
broke :4
brought :2
brother :1
bubble :4
brow :1
brows :2
bruited :1
built :1
building :1
buffets :1
buckle :1
burned :1
burn :4
buried :1
business :9
bury :1
buttress :1
butcher :1
buy :2
caesar :1
cabind :1
c :2
doctor :33
desert :3
come :54
calls :3
calld :5
call :10
calendar :1
calling :1
camp :1
camest :1
came :6
callst :1
can :24
captivity :1
captains :1
cannons :1
candles :1
cancel :1
candle :1
cannot :20
capital :1
canst :3
caps :1
cling :2
choke :1
carved :1
card :1
careless :1
care :5
carry :2
carousing :1
carried :2
chaps :1
cawdor :21
castle :14
cases :1
cast :3
casing :1
catch :3
cat :2
castles :3
catalogue :1
cause :5
cauldron :9
causes :2
caution :2
cavern :1
chappy :1
chance :5
chalice :1
celebrates :1
cease :1
certain :5
ceremony :1
censures :1
chafes :1
chamber :6
challenge :1
chamberlains :1
champion :1
chambers :1
chanced :1
chestnuts :1
charms :3
charge :3
charmed :2
charm :4
charged :2
chastise :1
charnelhouses :1
cherubim :1
cheer :4
cheeks :2
chaudron :1
cheaply :1
cheque :1
children :7
chief :2
chid :1
chickens :1
childhood :1
chiefest :1
child :4
chimneys :1
childrens :1
cleave :2
clear :4
clamour :1
claim :1
chuck :1
choughs :1
christendom :1
churches :1
cistern :1
clamorous :1
clean :1
clamourd :1
clatter :1
cleanno :1
cleanse :1
clears :1
clearness :1
clept :1
climb :1
cold :6
coign :1
clock :2
clutch :1
closed :1
close :3
cloisterd :1
clogs :1
cloud :2
closet :1
cloudy :1
cock :1
colmes :1
colmekill :1
combined :1
colour :1
colours :6
combustion :1
damned :3
cousin :6
comfort :5
comes :12
comest :1
compelld :1
commencing :1
coming :7
comforted :1
command :6
commanded :1
commands :1
commission :1
commendations :1
commend :2
commends :1
committed :1
common :2
company :2
companions :1
compared :1
compassd :1
conflict :1
conclude :1
composition :1
compose :1
compunctious :1
compt :1
conceive :1
concern :1
confessd :2
conduct :1
conclusion :1
concluded :1
concord :1
condemn :1
conference :1
confessing :1
confined :1
confident :1
confineless :1
confirm :1
confirmd :2
confronted :1
confounds :1
confound :2
corporal :2
contend :3
consequence :2
consent :1
confused :1
confusion :2
conjure :1
construction :1
consider :1
consequences :1
constancy :1
consort :1
considerd :1
conspirers :1
constrained :1
continue :2
content :2
contending :1
contented :1
continent :1
continually :1
convince :1
contradict :1
contriver :1
convey :1
convert :1
copys :1
cool :2
convinces :1
coold :1
corner :1
corn :1
countrys :4
could :14
